Year,Observed,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,BCC-ESM1,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,E3SM-1-0,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,GISS-E2-1-G,GISS-E2-1-G-CC,GISS-E2-1-H,HadGEM3-GC31-LL,HadGEM3-GC31-MM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorCPM1,NorESM2-LM,SAM0-UNICON,UKESM1-0-LL,Month
1979,7.05,5.70511055,5.289105415,4.693113804,6.461758614,8.864387512,7.361217976,5.031458855,6.01609993,6.1109519,3.716478109,7.066124439,5.997545242,8.81685257,5.698888302,4.22198391,7.518823147,5.943755627,8.947731972,9.00647831,12.16795349,7.56,6.064,7.462793827,6.54213953,5.505185604,4.884221077,5.169587612,3.746584177,4.770140648,6.845226396,5.947494507,8.901650429,6.337623119,7.232190132,8.723,9
1980,7.67,6.521105289,5.05821991,4.648487091,6.713432789,9.078913689,7.322363377,4.488467216,6.252196312,4.928931713,5.114138126,6.725206375,5.681874275,8.564655304,5.587956905,4.173568249,6.911135197,6.441860199,8.351299286,9.156980515,11.83876991,7.474,6.25,6.835362434,6.230031967,4.271256924,4.778631687,5.157176018,3.981120825,4.723555565,5.564815519,6.462695122,8.905335426,6.327782631,7.203070164,8.179,9
1981,7.14,5.828550339,5.723554134,4.117007256,6.720443249,8.761032104,6.723846912,4.628748894,5.850521564,3.498829365,5.111027241,6.543595314,6.130355358,7.678815842,5.468884945,4.736440182,7.93064785,6.262940407,7.820673943,8.393195152,11.30942726,7.23,6.122,6.707591534,6.206627846,5.611305714,4.976100445,5.509872437,4.007227421,4.512517929,5.772612717,6.171122551,8.950469017,6.262269497,7.322777748,7.986,9
1982,7.3,5.755586147,5.47692585,4.689090729,7.78482914,8.651107788,6.555691719,4.743794918,5.811392784,4.60428524,4.139226913,6.396074772,5.187655449,8.187123299,6.732251644,4.391256809,6.617885113,6.227108479,8.59325695,8.000263214,10.20223713,7.377,5.787,6.48285675,6.214329243,4.925750732,4.396491528,5.186288357,4.402036667,4.676539898,5.647221981,5.809988499,8.476508141,6.063625336,7.141829491,8.163,9
1983,7.39,7.12990284,5.276992798,4.639830112,8.362235069,8.601632118,7.195521832,5.428292274,6.868532658,5.035698891,5.058006287,6.888825893,6.169401646,9.254404068,7.626261234,3.843189716,6.905869961,6.05090332,7.932979584,8.532799721,11.74493408,8.11,6.442,7.189885139,6.311842442,5.334911346,4.306049347,4.780343056,3.772806168,4.711910248,5.438790341,7.161389828,8.677025795,6.044820309,7.38984251,7.998,9
1984,6.81,6.80475378,5.442309856,4.323074818,7.492701054,8.584303856,7.2476964,4.504180431,6.457687855,5.542428493,5.13168478,6.698343754,6.110237122,8.859712601,6.756021976,3.797506571,7.20827055,6.025985718,8.882447243,7.83326292,10.74142551,7.243,6.542,6.826323032,5.768649578,5.055029869,4.667780399,5.063532829,3.926116705,4.77756834,6.162789192,6.204997063,8.845511436,5.881531239,7.820826054,8.231,9
1985,6.7,6.367316246,5.463839531,3.923124313,7.521672249,8.656499863,7.258580685,4.061590672,6.714909554,4.968727589,5.16783762,6.718608856,6.307826042,8.219112396,5.274734497,3.75424099,6.874516487,5.770422459,7.753034592,8.305583,10.27708435,6.985,6.327,7.300477505,5.792385578,5.307235241,4.166985989,4.848553658,3.792322397,4.396657944,4.714627752,6.244311333,8.656336784,6.002666473,7.079895973,8.388,9
1986,7.41,5.717568398,5.500036716,3.990066528,7.583408356,7.924990654,7.314507008,4.337001324,5.780371666,5.721040249,4.610025406,6.440345764,5.718581676,8.31498909,6.132207394,3.663868189,6.258861065,5.769174099,8.869865417,7.222727776,9.553419113,7.372,6.379,6.626249313,6.419377327,4.661177635,4.105966568,5.307554245,4.071023464,4.43642807,5.122782626,6.140949249,8.746089935,6.348987103,6.636066437,7.928,9
1987,7.28,6.017557144,5.837880611,3.544117928,6.4870224,7.900732517,7.36789465,3.459003687,5.297861576,4.829145432,4.390194893,6.119353771,5.36477232,7.715461254,6.127555847,3.4614501,5.544742584,5.256349564,7.57358408,7.863459587,8.766653061,7.276,6.138,6.815746307,6.723930836,4.469204903,4.088816643,5.066639423,3.942650795,4.669755936,5.612873588,6.104563236,9.417557716,5.970669746,6.577310085,7.76,9
1988,7.37,6.589041233,5.432637215,4.404963017,6.281682968,7.889868736,7.293021679,2.939938068,5.293756008,5.019618034,3.38638401,6.690154552,5.145921707,7.563407421,5.752017021,3.770485401,5.441716194,5.610706806,7.194847107,8.532301903,10.0669384,6.631,6.878,7.438527107,6.969128132,4.007393837,4.218726635,5.364338398,3.887552738,4.586751938,5.470742105,5.982252598,9.065252304,5.497913837,7.285661221,7.959,9
1989,7.01,6.29803133,5.567137241,4.402415752,6.940000534,6.697070122,6.67730093,4.142238617,5.392784595,5.604382038,3.572598696,7.125130177,5.371945381,8.105051994,5.534998894,3.478611469,5.668017864,5.412804127,8.377749443,8.460167885,10.18578053,6.508,6.415,6.899062157,5.833662987,4.222096443,4.115134239,5.206298351,4.649420738,3.607680559,4.490879838,5.164348125,8.887646675,5.272668839,7.008839607,7.561,9
1990,6.14,6.413302898,5.421834946,4.294984818,6.815568447,7.378656387,7.227150917,4.021141529,5.186271667,4.8456707,4.313964367,5.643643856,5.078503609,7.302968502,5.888216019,3.206623077,6.200344086,5.777479172,8.231490135,8.95384407,8.840481758,6.393,6.598,6.291339874,6.578115463,4.068960667,4.368227482,4.875374317,3.894348383,3.859318256,3.898952811,4.831861973,9.244652748,5.695596695,6.464531422,7.048,9
1991,6.47,5.822814941,4.668074131,3.653078079,6.749236107,6.687890053,6.699926853,3.967026711,5.386048794,5.086755276,4.540738583,5.68345356,4.79582119,6.703124046,6.207095623,2.957878113,5.389887333,4.935609818,8.056393623,8.229351997,9.512385368,6.426,6.8,6.592553139,6.607253075,5.033565998,3.87846899,5.400319099,4.283400536,4.341068745,4.870793435,5.067475796,8.9696064,5.068359852,6.671185493,6.724,9
1992,7.47,6.87670517,5.674625874,4.041597366,7.904990673,8.437371254,7.322440147,4.325404644,5.519291878,4.885475159,4.377253532,6.371534824,4.899645805,6.751340389,5.488408089,3.660517216,6.401536942,6.215836048,7.64752388,9.669674873,10.04397964,6.597,6.757,7.363678932,6.513168812,4.476676941,4.28054142,5.571332455,4.499735832,4.696602821,5.05166158,6.291853905,9.49527359,6.079197407,6.91177702,7.211,9
1993,6.4,6.782627106,5.043860435,4.344357491,7.504740715,8.042539597,7.776584625,4.27140379,6.114093781,4.369104385,4.823077202,6.227513313,4.694953918,8.258394241,6.118211746,3.351233959,6.387980461,6.892662525,8.374712944,8.95867157,9.395974159,6.911,7.421,7.605628014,7.161641598,3.807232857,4.822039127,5.287158966,4.679486275,4.641753197,4.588136433,6.118787289,9.834413528,6.040048599,7.321679115,7.007,9
1994,7.14,5.891637325,5.505666256,4.090975285,6.917318821,7.611977577,7.301047325,3.961127996,5.890156746,4.634142876,5.206620216,5.91520977,4.925786495,7.07365036,5.709909439,3.74235034,6.530675411,5.89336729,8.635309219,9.029629707,9.610124588,7.345,6.905,6.854459763,6.492720604,4.387040615,4.392228603,4.868768692,4.562769413,4.043278694,4.54613939,5.88729763,9.424977303,6.279016495,6.81816721,6.648,9
1995,6.08,5.60700798,4.93078804,4.20569706,6.996170044,8.027888298,7.260890007,4.04765892,5.598954678,4.740051746,4.186659336,6.25480175,4.842165947,6.508526802,5.901805401,3.929992437,6.05053997,6.215876102,8.74491787,8.495612144,8.911053658,7.044,6.518,6.954884529,6.439387321,3.862924099,4.50722456,5.222225666,4.240371227,4.441242218,5.119332758,5.373527527,9.400940895,6.430136681,6.677427292,6.961,9
1996,7.58,5.220073223,4.282560825,3.585592031,7.391126633,7.080167294,7.24163866,3.756723881,5.315398693,4.064521313,4.342198372,6.050632954,4.33356905,6.206605911,6.145685196,3.155408382,6.16738081,5.200534821,8.508563042,7.766165733,11.05473042,7.034,5.757,6.9133358,6.29445219,3.252319098,4.166466713,5.727099895,4.886201859,3.954072952,5.031972244,4.299372673,9.628082275,5.419018745,6.591482162,6.668,9
1997,6.69,4.819643497,5.008752346,3.644432306,5.966210365,7.818834305,7.442071915,3.099894285,4.684504986,4.705577374,5.140639305,5.69085598,3.610437632,6.617807865,5.943691254,3.246194601,5.856077194,5.818528175,8.287856102,6.598190784,8.754611969,6.34,5.821,7.065304756,6.617260933,2.593258381,4.279693604,5.488745213,4.481135845,3.775171995,4.747760051,4.660822392,9.093813896,5.128156185,6.688220501,6.707,9
1998,6.54,5.334205627,4.564306259,3.626156807,6.66833353,8.625505447,7.421134949,3.93213439,4.800452232,4.328291416,4.857917786,5.047004223,4.116788387,6.559925079,5.319703102,3.267788649,6.181760788,5.116030216,8.832297325,7.298235893,9.269233704,6.474,6.305,7.570029736,7.026018143,2.897649288,4.646317959,5.415398121,4.393442154,3.536251783,4.108553808,4.33409214,9.188562393,5.593913078,7.192152977,5.955,9
1999,6.12,5.910863876,4.557408333,3.12594533,6.647449493,7.609798431,6.796919823,3.848726988,4.967932701,4.816678524,3.455682516,4.550213814,4.117350578,6.434195995,5.519812107,3.188694,6.107154369,4.698972225,7.337747097,6.808628082,8.302764893,6.119,6.377,6.508889675,6.182721615,3.179930687,4.873314857,4.708326817,4.184239388,3.632003307,4.260444121,4.014709949,9.337467194,4.982923985,6.807248592,6.193,9
2000,6.25,5.041570187,5.099153996,3.150485039,7.185901165,6.185498238,7.180321693,3.341704845,4.680209637,4.536811829,4.636502266,5.54129076,3.923233986,6.566376686,5.180970192,3.541129112,6.415831566,4.684829712,7.406165123,7.949881077,9.692917824,6.266,5.8,6.556078434,6.204493999,3.555462837,4.706334591,5.363625526,4.115260124,3.914962769,4.667922662,4.522995949,9.159976006,4.613371372,6.672577381,6.117,9
2001,6.73,5.444611549,4.68702507,3.442755222,6.619604588,6.984006405,6.938790798,3.458903074,3.523264885,4.750674725,4.553961277,5.949039459,2.785342216,7.497417927,4.427433968,3.094501019,5.478958607,4.657102585,7.809421062,6.340361118,8.44587326,5.818,5.957,6.100069046,5.495950699,2.727166653,4.753629684,5.111896992,4.109054565,3.468611002,4.791910864,4.527455807,9.229856491,5.242700577,5.788960934,6.293,9
2002,5.83,4.584666729,3.917856216,3.250459194,5.225720882,7.281124115,7.1007061,2.578927755,3.675717115,5.250947475,3.05674696,5.197118282,3.374725342,6.975692272,5.084674835,2.159470797,6.179482937,5.195159435,7.446638107,6.884943962,8.399677277,5.655,5.27,7.049462795,5.19573164,3.873244524,4.636080742,4.501880169,3.894264936,3.724382401,3.818826226,4.028857708,9.248737335,5.146561623,6.254583359,6.527,9
2003,6.12,5.286591053,4.055095196,3.425758362,5.266489983,6.419790268,6.738896847,1.671337366,3.780757189,4.731822014,2.129034996,4.586223602,3.166712284,5.998993397,4.654598236,3.214403868,5.72096014,4.86479044,6.973385811,7.137261868,8.75788784,5.151,5.27,6.823126316,5.224259377,2.702464104,4.601444721,4.597743034,3.65920639,3.955897331,4.162718414,4.484971046,9.246210098,5.70642519,6.044426918,6.563,9
2004,5.98,4.972901821,3.325070143,2.491600275,4.914636612,6.39538908,6.570489407,1.368641973,3.749705791,4.661665916,3.335170984,5.174976349,2.528134108,5.612441063,4.76125288,2.991960049,5.783577442,4.509047985,7.158585072,7.505939484,8.795186996,5.272,4.911,6.102552414,6.034092426,3.581276417,4.145161152,4.563204765,3.191350698,4.069332123,3.136834286,4.252871037,8.895474434,5.471878529,5.604415894,6.358,9
2005,5.5,5.357676983,4.35033083,3.202489138,5.759399891,7.088116169,6.803915501,2.018398762,3.775221109,4.019948959,3.625496149,5.168007851,1.764796734,5.883994102,4.671766758,1.955571532,5.136147499,4.812588692,7.647034168,7.053304195,8.330841064,5.286,5.262,6.887233734,5.788519859,2.34158802,4.111699104,4.580077171,2.992204905,4.114469528,3.739971411,3.029388189,8.664374352,4.978257656,5.860071659,5.725,9
2006,5.86,5.821349144,3.796473503,2.727802992,4.995514393,6.427311897,7.152732849,3.209892035,3.449195385,4.032221794,4.210376263,5.620273113,1.593931913,6.138876915,4.768253326,2.682879686,5.045573235,4.747693539,6.487267971,5.710701466,7.952912807,4.774,5.133,6.956833839,5.707201004,3.338201523,4.826244831,4.428113937,2.57268548,3.753203154,2.725385052,2.450982571,9.023123741,4.862088203,5.395969868,6.916,9
2007,4.27,5.660417557,3.295542717,3.105549097,4.330654144,6.630454063,7.100910187,1.656014323,3.278804779,4.256055355,3.281355143,5.378586769,1.9637146,5.0703578,4.243179798,2.764142513,5.452706337,4.286053658,7.766772747,6.666728497,8.407692909,4.654,5.22,6.402807713,5.435708046,2.387593985,4.846009254,4.639783382,2.675395727,3.715521097,2.621364968,1.883490324,8.748837471,4.608490467,5.746829033,6.867,9
2008,4.69,5.050147533,4.037797928,2.922578573,4.654820442,6.736989498,7.543113708,1.60103929,2.960340738,5.292460918,3.50637579,4.243646145,2.472297907,4.60354805,4.511613846,3.09747839,5.065921307,4.085269928,6.575059891,7.032915115,8.113758087,4.147,4.873,7.209170818,4.929541588,2.552473307,3.852600574,4.892076969,2.845537663,3.501520634,2.392760547,1.788069487,8.727560997,4.176666737,5.696875095,6.814,9
2009,5.26,5.476309299,3.205009699,2.710921764,5.310658455,6.213956833,6.705729008,0.947073996,3.869157314,4.989737988,3.685300112,4.420884609,1.546121001,4.414255142,4.762736797,2.656710148,4.560745716,4.121665001,7.221227646,5.992768764,6.611861706,4.818,5.674,6.689229965,5.071073055,3.408786297,3.945890903,5.07209444,2.878878832,3.08787179,1.653511383,2.963885307,8.26595974,4.481215954,5.630122185,6.424,9
2010,4.87,5.586924076,3.747420788,2.944187403,6.168558598,6.304272652,7.116314411,2.432323217,3.848208904,5.101672173,3.080200911,4.982622623,0.700423121,4.465729713,4.475131989,3.351929665,5.121153831,4.697605133,7.182723999,6.616746426,6.740733147,4.985,5.404,6.740465164,5.349182129,3.006474018,3.564162016,4.357739925,2.604441881,2.991638184,3.903133636,2.458602667,8.192193031,3.951914549,6.588283062,6.307,9
2011,4.56,4.473161697,2.781508446,2.743057489,5.602740765,6.054846764,7.148842335,2.304373264,2.646923542,4.949847698,4.372887611,5.422802925,1.134294868,4.323039532,5.461285591,2.923849344,3.974464893,4.491743088,6.5389781,6.362856865,6.923573494,4.17,4.901,6.909983635,6.019753933,3.332312584,4.014537334,4.445576668,2.554802179,3.21047473,3.871146755,2.365112543,8.110458374,4.190672398,5.419381142,5.586,9
2012,3.57,4.012982368,4.060365677,2.934207916,4.756244183,5.027421474,6.161509514,2.640736341,2.712109327,4.679612637,3.274875402,4.891989708,2.859272003,4.518529415,4.292849541,2.81397295,4.34300375,4.2727952,7.374498367,6.482508659,6.377119541,4.71,4.48,7.165015221,6.101336479,2.743694305,4.117161751,4.363172531,2.673252821,3.323927402,3.002794908,2.586857557,8.647251129,4.217416286,5.260526657,5.867,9
2013,5.21,4.193058014,3.871250391,2.941201925,5.165137291,5.178328514,7.087563038,1.060424566,3.254339457,5.183678627,4.27456665,4.07566452,2.200253248,4.522573948,4.747388363,3.530062199,5.651381016,4.497570038,6.178676128,7.053979874,6.459958076,4.078,3.768,6.961748123,5.468810081,2.695393324,3.399687529,3.687043667,2.740231276,3.148670673,2.605239346,2.053671598,8.393301964,3.985631943,6.345206738,5.212,9
